name,latitude,longitude,acres14,acres15,acres16,acres17,acres18,acres19,acres20,HouseUnits14,HouseUnits15,HouseUnits16,HouseUnits17,HouseUnits18,HouseUnits19,HouseUnits20,OwnOccupied14,OwnOccupied15,OwnOccupied16,OwnOccupied17,OwnOccupied18,OwnOccupied19,OwnOccupied20,TotalPop14,TotalPop15,TotalPop16,TotalPop17,TotalPop18,TotalPop19,TotalPop20,Households14,Households15,Households16,Households17,Households18,Households19,Households20,Families14,Families15,Families16,Families17,Families18,Families19,Families20,Crash14,Crash15,Crash16,Crash17,Crash18,Crash19,Crash20
Capitol Square,43.0751702,-89.3836288,276.7,276.7,276.7,276.7,276.7,276.7,276.7,4607,4607,4607,4607,4607,4607,4607,16.3,16.3,16.3,16.3,16.3,16.3,16.3,7485,7485,7485,7485,7485,7485,7485,4110,4110,4110,4110,4110,4110,4110,1.8,1.8,1.8,1.8,1.8,1.8,1.8,212,225,222,175,307,291,124
Tenney Park,43.0883235,-89.3717333,366.6,355.1,355.1,355.1,355.1,355.1,355.1,2933,2930,2930,2930,2930,2930,2930,26.7,26.7,26.7,26.7,26.7,26.7,26.7,5262,5258,5258,5258,5258,5258,5258,2762,2761,2760,2760,2760,2760,2760,10.7,10.7,10.7,10.7,10.7,10.7,10.7,88,89,97,109,238,251,120
Marquette,43.0854659,-89.3622529,529.5,529,529,529,529,529,529,3369,3369,3369,3369,3369,3369,3369,35.1,35.1,35.1,35.1,35.1,35.1,35.1,6106,6105,6105,6105,6105,6105,6105,3231,3231,3231,3231,3231,3231,3231,14.4,14.4,14.4,14.4,14.4,14.4,14.4,138,162,148,131,321,306,164
Fair Oaks,43.0971584,-89.3409413,572.3,568.2,568.1,568.1,568.1,568.1,568.1,2666,2663,2663,2663,2663,2663,2663,55.7,55.7,55.7,55.7,55.7,55.7,55.7,5290,5284,5284,5284,5284,5284,5284,2531,2528,2528,2528,2528,2528,2528,22.4,22.4,22.4,22.4,22.4,22.4,22.4,73,98,102,84,155,158,98
Eastmorland,43.0936249,-89.3223708,721,719.2,719.2,719.2,719.2,719.2,719.2,1624,1624,1624,1624,1624,1624,1624,81.2,81.2,81.2,81.2,81.2,81.2,81.2,3167,3166,3166,3166,3166,3166,3166,1562,1562,1562,1562,1562,1562,1562,19.4,19.4,19.4,19.4,19.4,19.4,19.4,75,76,81,66,60,72,52
Emerson-Eken,43.1043096,-89.3548753,762.4,761.8,761.8,761.8,761.8,761.8,761.8,2569,2567,2567,2567,2567,2567,2567,52.4,52.4,52.4,52.4,52.4,52.4,52.4,4807,4804,4804,4804,4804,4804,4804,2431,2430,2430,2430,2430,2430,2430,17.5,17.5,17.5,17.5,17.5,17.5,17.5,110,110,132,82,228,277,151
East Washington,43.1112616,-89.3242853,383.4,383.4,383.4,383.4,383.4,383.4,383.4,841,841,841,841,841,841,841,55.4,55.4,55.4,55.4,55.4,55.4,55.4,1806,1806,1806,1806,1806,1806,1806,809,809,809,809,809,809,809,21.4,21.4,21.4,21.4,21.4,21.4,21.4,65,51,58,45,108,121,71
Truax Field,43.1290551,-89.3388202,2350.3,2349.8,2349.8,2349.8,2349.8,2349.8,2349.8,953,953,953,953,953,953,953,52.9,52.9,52.9,52.9,52.9,52.9,52.9,1724,1724,1724,1724,1724,1724,1724,877,877,877,877,877,877,877,20.9,20.9,20.9,20.9,20.9,20.9,20.9,86,79,78,97,193,240,110
Sherman Park,43.1210899,-89.3620358,446.3,446.3,446.3,446.3,446.3,446.3,446.3,2208,2208,2208,2208,2208,2208,2208,54.3,54.3,54.3,54.3,54.3,54.3,54.3,4165,4165,4165,4165,4165,4165,4165,2067,2067,2067,2067,2067,2067,2067,20.7,20.7,20.7,20.7,20.7,20.7,20.7,99,93,79,76,128,123,83
Warner Park,43.1325797,-89.378906,634.4,600,600,600,600,600,600,1337,1337,1337,1337,1337,1337,1337,53.4,53.4,53.4,53.4,53.4,53.4,53.4,3140,3139,3139,3139,3139,3139,3139,1251,1251,1251,1251,1251,1251,1251,32.3,32.3,32.3,32.3,32.3,32.3,32.3,56,43,42,34,76,54,54
Lakeview,43.1366694,-89.3638161,427.7,427.7,427.7,427.7,427.7,427.7,486.9,1541,1541,1541,1541,1541,1541,1545,55.5,55.5,55.5,55.5,55.5,55.5,55.6,3394,3394,3394,3394,3394,3394,3401,1460,1460,1460,1460,1460,1460,1463,25.5,25.5,25.5,25.5,25.5,25.5,25.5,46,61,64,37,92,82,68
Cherokee,43.1535119,-89.3746339,660.9,665.7,671.4,671.4,671.4,672.1,671.4,849,851,852,852,852,852,852,97.5,97.5,97.5,97.5,97.5,97.5,97.5,1455,1461,1462,1462,1462,1462,1462,786,789,789,789,789,789,789,9.5,9.5,9.5,9.5,9.5,9.5,9.5,2,6,4,2,12,9,4
Allis,43.0766041,-89.3176657,457.1,457.1,457.1,457.1,457.1,457.1,457.1,1103,1103,1103,1103,1103,1103,1103,83.1,83.1,83.1,83.1,83.1,83.1,83.1,2374,2374,2374,2374,2374,2374,2374,1061,1061,1061,1061,1061,1061,1061,21.7,21.7,21.7,21.7,21.7,21.7,21.7,35,34,37,28,62,63,36
Glendale,43.0620275,-89.3169655,538,538,538,538,538,538,538,993,993,993,993,993,993,993,74.2,74.2,74.2,74.2,74.2,74.2,74.2,2243,2243,2243,2243,2243,2243,2243,947,947,947,947,947,947,947,24.6,24.6,24.6,24.6,24.6,24.6,24.6,43,51,46,44,40,44,18
Milwaukee,43.0916534,-89.2996079,928.5,928.5,928.5,928.5,928.5,928.5,928.5,2031,2031,2031,2031,2031,2031,2031,83.8,83.8,83.8,83.8,83.8,83.8,83.8,5130,5130,5130,5130,5130,5130,5130,1977,1977,1977,1977,1977,1977,1977,28.7,28.7,28.7,28.7,28.7,28.7,28.7,58,52,51,52,92,81,53
Buckeye,43.0758232,-89.2938641,1052.7,1052.7,1052.7,1052.7,1052.7,1052.7,1052.7,2486,2486,2486,2486,2486,2486,2486,82.8,82.8,82.8,82.8,82.8,82.8,82.8,6208,6208,6208,6208,6208,6208,6208,2386,2386,2386,2386,2386,2386,2386,29.1,29.1,29.1,29.1,29.1,29.1,29.1,58,38,48,45,76,68,44
Southeast,43.0375741,-89.2867253,1046,1046,1046,1046,1046,1046,1046,780,780,780,780,780,780,780,83.7,83.7,83.7,83.7,83.7,83.7,83.7,2194,2194,2194,2194,2194,2194,2194,744,744,744,744,744,744,744,46.9,46.9,46.9,46.9,46.9,46.9,46.9,14,19,8,7,16,13,10
Gompers,43.1443311,-89.3776173,454.4,454.4,454.4,454.4,454.4,454.4,454.4,1449,1449,1449,1449,1449,1449,1449,90.1,90.1,90.1,90.1,90.1,90.1,90.1,3386,3386,3386,3386,3386,3386,3386,1401,1401,1401,1401,1401,1401,1401,24.2,24.2,24.2,24.2,24.2,24.2,24.2,17,15,19,19,31,27,25
Mendota,43.1356506,-89.3995348,628.5,628.1,628.1,628.1,628.1,628,628.1,363,363,363,363,363,363,363,80.3,80.3,80.3,80.3,80.3,80.3,80.3,1341,1341,1341,1341,1341,1341,1341,350,350,350,350,350,350,350,28.3,28.3,28.3,28.3,28.3,28.3,28.3,2,7,6,9,8,11,7
Pumpkin Hollow Westchester,43.1368788,-89.3137526,1251.2,1265.9,1265.8,1265.8,1265.8,1265.8,1277.2,2567,2578,2578,2578,2578,2578,2579,46.2,46,46,46,46,46,46,5535,5551,5551,5551,5551,5551,5554,2430,2441,2441,2441,2441,2441,2442,23.4,23.4,23.4,23.4,23.4,23.4,23.4,134,132,126,122,195,175,120
